Gene_ID	SRR847697	SRR847690	SRR847696	SRR847699	SRR847693	SRR847701	SRR847692	SRR847691	SRR847695	SRR847698	SRR847700	SRR847694
ENSMUSG00000000001	278	631	400	655	387	622	413	430	407	461	468	391
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	118	136	167	137	103	73	126	123	91	87	137	106
ENSMUSG00000000031	13	8	20	14	5	5	5	4	7	17	31	6
ENSMUSG00000000037	22	16	50	20	9	17	10	16	14	30	30	8
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000056	73	25	87	62	27	51	32	35	25	61	48	30
ENSMUSG00000000058	0	0	2	1	0	6	0	0	0	2	1	0
ENSMUSG00000000078	65	24	94	120	43	98	31	40	28	39	144	35
ENSMUSG00000000085	10	8	14	9	3	6	4	3	6	6	11	5
ENSMUSG00000000088	29	19	66	30	19	27	15	19	11	6	35	23
ENSMUSG00000000093	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000094	4	0	1	5	1	2	2	1	0	3	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	1	27	9	25	18	18	30	26	7	2	19	14
ENSMUSG00000000125	1	1	6	4	2	4	1	0	0	1	12	0
ENSMUSG00000000126	2	0	7	6	3	6	1	2	3	4	5	2
ENSMUSG00000000127	88	107	129	89	88	95	97	115	80	107	102	73
ENSMUSG00000000131	61	101	100	135	70	160	76	133	85	82	94	68
ENSMUSG00000000134	23	16	27	30	12	23	8	13	13	14	22	15
ENSMUSG00000000142	2	5	5	5	4	11	1	4	0	4	7	0
ENSMUSG00000000148	18	16	28	26	30	19	14	21	8	15	13	23
ENSMUSG00000000149	8	24	17	17	10	13	16	25	4	8	18	6
ENSMUSG00000000154	1	1	1	0	2	0	1	1	1	0	0	1
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	2	6	6	16	13	7	11	6	6	2	15	6
ENSMUSG00000000168	60	96	116	105	56	81	96	75	88	49	90	64
ENSMUSG00000000171	138	150	259	193	156	148	139	172	98	121	233	153
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	5	7	1	6	1	2	11	6	2	1	7	0
ENSMUSG00000000194	20	35	46	38	23	32	33	35	11	26	43	14
ENSMUSG00000000197	2	1	17	4	1	5	1	1	1	5	8	0
ENSMUSG00000000202	0	0	0	0	1	0	0	0	2	0	0	1
ENSMUSG00000000204	0	0	0	0	0	0	0	2	0	0	2	0
ENSMUSG00000000214	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	0	0	3	5	1	2	3	2	0	1	2	2
ENSMUSG00000000244	0	2	2	3	6	0	5	0	6	0	0	2
ENSMUSG00000000247	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	44	38	33	52	31	36	36	31	30	24	51	33
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	2	0	1	2	3	0	2	1	0	0	0	0
ENSMUSG00000000275	121	150	191	181	131	200	110	150	103	99	149	127
ENSMUSG00000000276	132	154	198	202	173	195	115	147	166	135	201	152
ENSMUSG00000000278	103	106	199	95	93	65	101	104	68	61	100	88
ENSMUSG00000000282	5	2	4	4	3	12	1	4	2	4	2	0
ENSMUSG00000000290	0	0	2	1	0	0	0	0	0	0	0	0
ENSMUSG00000000295	66	39	92	62	47	42	47	43	26	38	73	42
ENSMUSG00000000296	7	10	14	11	6	6	3	3	6	1	7	5
ENSMUSG00000000301	0	0	0	1	1	4	0	2	0	1	2	0
ENSMUSG00000000303	123	131	220	198	145	138	130	138	114	123	183	152
ENSMUSG00000000305	0	0	2	1	0	1	1	5	3	0	6	0
ENSMUSG00000000308	9	14	11	12	16	12	10	7	8	4	9	22
ENSMUSG00000000317	4	7	10	9	5	7	4	6	7	7	6	6
ENSMUSG00000000318	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320	2	4	7	7	4	1	2	4	2	2	4	2
ENSMUSG00000000325	67	106	120	73	98	49	105	106	83	44	66	77
ENSMUSG00000000326	11	15	14	6	11	11	5	7	8	6	21	11
ENSMUSG00000000339	20	39	42	27	19	22	24	20	10	18	34	20
ENSMUSG00000000340	28	37	34	30	20	26	31	34	18	21	38	31
ENSMUSG00000000346	11	10	23	13	5	6	15	10	5	7	18	4
ENSMUSG00000000355	13	5	31	20	7	23	9	9	5	8	37	6
ENSMUSG00000000359	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000000365	347	202	576	290	175	197	128	160	156	305	356	211
ENSMUSG00000000374	42	51	91	75	37	60	46	43	36	42	77	61
ENSMUSG00000000378	25	13	64	53	22	18	24	8	12	29	57	25
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	1	0	0
