Name	SRR847690	SRR847691	SRR847692	SRR847693	SRR847694	SRR847695	SRR847696	SRR847697	SRR847698	SRR847699	SRR847700	SRR847701
Acta2	0	0	0.1412	1.1633	3.3105	0	3.2643	1.695	1.8453	7.2398	7.4204	6.6226
Clca6	0	0	0.1412	1.2129	2.243	2.3867	3.8133	2.6816	3.6721	4.9736	4.9622	5.6966
Mir290	7.2701	7.0552	7.4693	7.7848	7.6423	7.9404	1.326	1.469	4.5767	5.0565	6.5319	7.1235
Tagln	2.7562	2.9167	2.1412	2.4707	4.4077	3.4148	3.6964	4.5097	3.5998	7.192	7.3017	7.169
Egln3	0	1.4643	1.1267	2.1633	1.1829	2.5109	5.3864	5.3178	5.2804	1.5824	1.2253	1.5081
Myl9	0	0.7433	1.1412	2.7482	2.9903	4.0958	1.7036	3.5104	1.2894	5.0256	5.4435	4.5584
Has2	0	0	0	1.7482	2.9903	2.0958	4.4261	4.6479	3.4594	4.1096	4.4983	4.1349
Zscan4c	1.7246	0.1017	0.1446	0.1633	1.0385	0	4.5899	5.1069	4.9899	4.8339	2.7859	2.7179
Gm10621	4.6825	4.8793	4.6006	4.4575	4.222	4.5649	1.7036	1.7735	2.6114	0.586	0	0.9231
Cnn1	0	0	0	0.1488	0	0	0.3817	0.1885	0	4.0454	4.4968	3.83
Thbs1	0	1.2853	1.7261	1.7482	2.9611	0	0.3599	1.1885	0	5.2034	4.9287	5.2019
Snurf	6.0906	0	6.189	5.7969	5.7315	0	0	5.8031	0	0	0	0
Nop56	7.2562	7.0053	7.8166	10.6151	11.7942	11.5856	6.8484	7.0658	7.1269	6.9544	6.9529	7.3418
NEWGENE28	3.8228	4.3315	3.9485	3.1633	3.9119	4.091	0	0.1885	0	2.9562	1.5472	0
LOC100502902	4.009	4.6337	4.1995	3.1415	4.0567	2.0958	0.9666	0.1885	0	1.2997	2.2253	1.5081
Wls	2.3721	0	1.7261	3.6122	3.8665	3.5018	4.9418	4.9402	5.6869	4.6404	4.7819	5.3811
Fam198b	0	1.4643	0.1412	3.4852	2.7679	2.5109	4.3817	4.5104	3.8744	2.7559	1.9622	2.9231
Zeb2	0	0.8793	0	1.7337	2.5048	0	3.5516	3.1885	3.2858	3.7782	4.0112	4.1673
Ppp1r3c	2.1091	0.6278	0.1412	1.1633	1.1829	2.0958	4.5375	4.7735	4.3478	1.171	0	0
Anxa3	0	0	0	1.7289	2.5048	0.3121	3.0743	1.7687	1.1935	3.7252	3.9572	2.9231
Krt19	2.1091	2.2012	0	3.6227	1.7679	2.5073	4.2833	5.1399	3.9899	5.1677	5.0984	4.5577
Cubn	1.3576	1.4643	0	1.1633	1.1684	0.5109	4.5472	4.2477	4.5036	2.7479	2.9479	3.8415
